CHANNEL;OXYGEN AIR SAT;TIME ABS;TIME REL;
2;21.191;1635804531.946791;3844.023472070694;
1;21.347;1635804532.6565561;3844.7332372665405;
2;21.183;1635804533.2647328;3845.341413974762;
1;21.334;1635804533.9746463;3846.0513274669647;
2;21.185;1635804534.56845;3846.645131111145;
1;21.342;1635804535.2780437;3847.354724884033;
2;21.179;1635804535.8752291;3847.9519102573395;
1;21.344;1635804536.5857046;3848.662385702133;
2;21.177;1635804537.1788247;3849.255505800247;
1;21.349;1635804537.8891048;3849.9657859802246;
2;21.187;1635804538.4888277;3850.5655088424683;
1;21.347;1635804539.2010975;3851.2777786254883;
2;21.186;1635804539.7923265;3851.869007587433;
1;21.335;1635804540.5010395;3852.57772064209;
2;21.191;1635804541.102697;3853.1793780326843;
1;21.333;1635804541.8044353;3853.8811163902283;
2;21.182;1635804542.4013453;3854.4780263900757;
1;21.34;1635804543.104598;3855.181279182434;
2;21.18;1635804543.70278;3855.779461145401;
1;21.345;1635804544.408603;3856.485284090042;
2;21.18;1635804544.999434;3857.076115131378;
1;21.343;1635804545.7090838;3857.7857649326324;
2;21.182;1635804546.3014107;3858.378091812134;
1;21.343;1635804547.0092516;3859.0859327316284;
2;21.197;1635804547.6082394;3859.6849205493927;
1;21.331;1635804548.315062;3860.391743183136;
2;21.193;1635804548.916694;3860.9933750629425;
1;21.336;1635804549.6172225;3861.693903684616;
2;21.198;1635804550.2161498;3862.2928309440613;
1;21.341;1635804550.9243476;3863.001028776169;
2;21.201;1635804551.5243764;3863.6010575294495;
1;21.333;1635804552.22824;3864.3049211502075;
2;21.228;1635804552.8226457;3864.8993268013;
1;21.349;1635804553.533143;3865.609824180603;
2;21.233;1635804554.128835;3866.20551609993;
1;21.342;1635804554.8341866;3866.91086769104;
2;21.229;1635804555.4256947;3867.5023758411407;
1;21.346;1635804556.1312587;3868.207939863205;
2;21.214;1635804556.726511;3868.803192138672;
1;21.346;1635804557.4396305;3869.516311645508;
2;21.218;1635804558.0358634;3870.1125445365906;
1;21.343;1635804558.745975;3870.8226561546326;
2;21.203;1635804559.3386314;3871.4153125286102;
